order,order_alt,location,pop_code,catchment,x_coord,y_coord,wb_size
1,29,Nussbaumersee,NUS,Rhein,2703389.3,1274571.9,0.25
2,28,Vagoweiher,VAG,Rhein,2719644.7,1271828.7,0.02213
3,27,Rütiweiher,RUT,Rhein,2737853.5,1261302.3,0.026
4,26,Eichweiher,EIC,Rhein,2747426.5,1254273.4,0.0026
5,25,Bildweiher,BIL,Rhein,2741172.5,1252241.9,0.016
6,24,Alter Rhein,ARH,Rhein,2768374.5,1249664.9,0.00306
7,23,Greifensee,GRE,Rhein,2692101,1247577.4,2.31
8,22,Türlersee,TUR,Limmat,2681075.7,1235512.6,0.49
9,21,Wädenswil,WAD,Limmat,2692483,1232975.1,65
10,19,Lachen,LAC,Limmat,2707100.3,1228477.1,20
11,20,Schmerikon,SCN,Limmat,2714166.8,1231382.8,20
12,18,Walensee Gäsi,WAG,Limmat,2726709.9,1221055.8,24
13,17,Walenstadt,WAL,Limmat,2741175.5,1220145,24
14,16,Alte Reuss,ARE,Reuss,2667415.8,1246877.9,0.00072
15,15,Ägerisee,AGE,Reuss,2688891.6,1220910.8,7.2
16,12,Seewen,SEE,Reuss,2689890.5,1209455.6,3
17,14,Rotsee,ROT,Reuss,2667237.2,1213992.1,0.4665
18,13,Ufschötti,UFS,Reuss,2667105,1210856.6,114
19,11,Sarnersee,SAM,Reuss,2658234,1188571.9,7.5
20,10,Villnachern,VIL,Aare,2656758.5,1258822.8,0.0007
21,9,Scherz,SCZ,Aare,2656289.5,1255116.4,0.00023
22,7,Baldeggersee,BAL,Aare,2663459.3,1226608.4,5.3
23,6,Nottwil,NOT,Aare,2653098.5,1221174.9,14.5
24,8,Brümeliweiher,BRU,Aare,2623110.3,1233162.8,0.00087
25,5,St. Blaise,STB,Aare,2565166.3,1206765.4,218.3
26,4,Burtignière,BUR,Aare,2502747.4,1157513.3,0
27,3,Lac de Bret,BRE,Rhone,2548807.6,1151735,0.4577
28,2,Etang du Duzillet,ETD,Rhone,2563170.3,1126483.6,0.1086
29,1,Etang du Rosel,ETR,Rhone,2570665.3,1108660.9,0.0982
30,31,Locarno,LOC,Ticino,2705556.4,1112991.8,212.5
31,30,Agno,AGN,Ticino,2713328,1094422.8,48.7